code,term
293078009,Isoniazid adverse reaction (disorder)
293531002,Vasodilator adverse reaction (disorder)
292498003,Orciprenaline adverse reaction (disorder)
702811005,Drug reaction with eosinophilia and systemic symptoms caused by strontium ranelate (disorder)
170831000,Blood drug side effect (finding)
421261000000104,"[X]Vitamin B12, folic acid and other anti-megaloblastic anaemia preparations causing adverse effects in therapeutic use (disorder)"
293194000,Glibenclamide adverse reaction (disorder)
293159007,Cortisone adverse reaction (disorder)
230441003,Drug-induced epilepsy (disorder)
294869008,Allergy to anticoagulant (finding)
292281001,Doxepin adverse reaction (disorder)
200805005,Contact dermatitis caused by caustic (disorder)
292921008,Aminoglycosides adverse reaction (disorder)
213320003,Anaphylactic shock caused by serum (disorder)
292102004,Bismuth chelate adverse reaction (disorder)
292353005,Clobazam adverse reaction (disorder)
292234002,Fluorouracil adverse reaction (disorder)
218471002,Adverse reaction caused by follicle stimulating hormone (disorder)
292177009,Bupivacaine adverse reaction (disorder)
31948006,Contact dermatitis caused by plastic (disorder)
292204007,Cyclophosphamide adverse reaction (disorder)
237738005,Alcohol-induced pseudo-Cushing's syndrome (disorder)
219082005,Adverse reaction to vaccine product containing Vibrio cholerae antigen (disorder)
292167007,Thiopentone adverse reaction (disorder)
218965000,"Adverse reaction to water, mineral and uric acid metabolism drugs (finding)"
292392003,Fluphenazine adverse reaction (disorder)
292430008,Nadolol adverse reaction (disorder)
956171000000106,Ticagrelor not tolerated (situation)
293071003,Pyrazinamide adverse reaction (disorder)
292285005,Trimipramine adverse reaction (disorder)
956231000000101,Ticagrelor adverse reaction (disorder)
218503000,Adverse reaction to antiallergic and antiemetic drugs NOS (disorder)
212892002,Toxic effect of contact with fish (disorder)
440643006,Adverse reaction caused by hypnotic AND/OR sedative (disorder)
218790009,Adverse reaction caused by hallucinogen (disorder)
408672009,Adverse reaction to vaccine product containing virus antigen (disorder)
293515005,Cardiac inotropic agent adverse reaction (disorder)
191360002,Drug-induced eosinophilia (disorder)
419287006,Para-aminophenol derivative adverse reaction (disorder)
218636009,Adverse reaction caused by trimethadione (disorder)
293177002,Insulin adverse reaction (disorder)
200076006,Spinal and epidural anesthesia-induced headache during labor and delivery (disorder)
293197007,Glipizide adverse reaction (disorder)
293096000,Immunoglobulin products adverse reaction (disorder)
78373000,Sucrase-isomaltase deficiency (disorder)
292651000,Emollient adverse reaction (disorder)
292046005,Pentazocine adverse reaction (disorder)
4390004,Lithium nephropathy (disorder)
292535000,Benzhexol adverse reaction (disorder)
293392008,Nicotinic acid adverse reaction (disorder)
200855002,"Irritant contact dermatitis caused by plants, except food (disorder)"
293260005,Clomiphene adverse reaction (disorder)
269287005,Hypothermia caused by anesthetic (finding)
292559005,Doxapram adverse reaction (disorder)
18793008,Contact dermatitis caused by fruit (disorder)
219019005,Adverse reaction caused by skeletal muscle relaxants (disorder)
292826004,Antiviral drug adverse reaction (disorder)
219036002,Adverse reaction caused by antiasthmatic (disorder)
293388001,Vitamin K adverse reaction (disorder)
459111000000109,[X]Antiallergic and antiemetic drugs causing adverse effects in therapeutic use (disorder)
293441001,Quinidine adverse reaction (disorder)
191148006,"Folate deficiency anemia, drug-induced (disorder)"
624961000000105,Adverse reaction to other opiates and related narcotics (disorder)
293255006,Ethinylestradiol adverse reaction (disorder)
200804009,Contact dermatitis caused by alkali (disorder)
292922001,Amikacin adverse reaction (disorder)
292135009,Laxative adverse reaction (disorder)
419887003,Adverse reaction caused by blood or blood product (disorder)
200879000,Contact dermatitis caused by ultraviolet rays (excluding sunlight) (disorder)
230304003,Drug-induced chorea (disorder)
294486009,Allergy to nalidixic acid (finding)
193609000,Drug-induced cataract (disorder)
292491009,Beta-adrenoceptor agonist adverse reaction (disorder)
424301005,Gastric ulcer caused by anti-platelet agent (disorder)
292255000,Immunosuppressant adverse reaction (disorder)
83508001,Contact dermatitis caused by nylon (disorder)
170738003,Gout drug side effect (finding)
200046004,Complications of anesthesia during labor and delivery (disorder)
293079001,Ethambutol adverse reaction (disorder)
292218000,Bleomycin adverse reaction (disorder)
293055003,Demeclocycline adverse reaction (disorder)
302982001,Adverse reaction caused by enzymes (disorder)
293383005,Vitamin products adverse reaction (disorder)
294674002,Allergy to carbimazole (finding)
116223007,Complication (disorder)
447811000000107,[X]Glucocorticoids and synthetic analogues causing adverse effects in therapeutic use (disorder)
292366005,Chloral hydrate adverse reaction (disorder)
292169005,Inhalational anesthetics adverse reaction (disorder)
218497008,Adverse reaction to antiallergic and antiemetic drugs (finding)
293359002,Iron sorbitol adverse reaction (disorder)
863903001,Allergy to vaccine product (finding)
292311009,Mianserin adverse reaction (disorder)
26037005,Radiation-induced myelopathy (disorder)
694361000000101,Adverse reaction to antilipemic and antiarteriosclerotic drugs NOS (disorder)
292911000,Piperazine adverse reaction (disorder)
293530001,Ergometrine adverse reaction (disorder)
849451000000107,History of risedronate sodium allergy (situation)
404011000000101,[X]Agents primarily affecting water-balance and mineral and uric acid metabolism causing adverse effects in therapeutic use (disorder)
292388005,Pericyazine adverse reaction (disorder)
170891003,"Ear, nose and throat drug side effect (finding)"
956311000000104,Ticagrelor allergy (disorder)
292416003,Alcohol metabolism modifier adverse reaction (disorder)
218622004,Adverse reaction caused by sodium aurothiomalate (disorder)
236514003,Toxic nephropathy (disorder)
446471000000103,[X]Other antipsychotics and neuroleptics causing adverse effects in therapeutic use (disorder)
293162005,Fludrocortisone adverse reaction (disorder)
200785003,Contact dermatitis caused by cyclohexane (disorder)
702772003,Idiopathic environmental intolerance (disorder)
292437006,Oxprenolol adverse reaction (disorder)
5368009,Drug-induced diabetes mellitus (disorder)
32371003,Contact dermatitis caused by neomycin (disorder)
439498003,Adverse reaction caused by mixed bacterial vaccine (disorder)
393911000000109,"[X]Keratolytics, keratoplastics and other hair treatment drugs and preparations causing adverse effects in therapeutic use (disorder)"
292140001,Magnesium sulfate adverse reaction (disorder)
293436009,Antiarrhythmic drug adverse reaction (disorder)
267527002,Aplastic anemia due to drugs (disorder)
292397009,Perphenazine adverse reaction (disorder)
292266007,Levodopa adverse reaction (disorder)
292238004,Cisplatin adverse reaction (disorder)
292328007,Ethosuximide adverse reaction (disorder)
292124004,Aluminum hydroxide adverse reaction (disorder)
170722009,Ophthalmological drug side effect (finding)
292677008,Sulfinpyrazone adverse reaction (disorder)
238569008,Oil contact dermatitis (disorder)
417516000,Anaphylaxis caused by substance (disorder)
292376008,Tetrabenazine adverse reaction (disorder)
292991004,Colistin adverse reaction (disorder)
1033621000000103,Allergy to stainless steel (disorder)
218718001,Adverse reaction caused by surface and infiltration anesthetic (disorder)
218792001,Adverse reaction caused by lysergide (disorder)
292409004,Selegiline adverse reaction (disorder)
292239007,Hydroxyurea adverse reaction (disorder)
292963007,Cloxacillin adverse reaction (disorder)
292608004,Dextromethorphan hydrobromide adverse reaction (disorder)
218829006,Adverse reaction caused by parasympatholytic and spasmolytic (disorder)
293136001,Antithyroid drug adverse reaction (disorder)
293201007,Tolbutamide adverse reaction (disorder)
292203001,Chlorambucil adverse reaction (disorder)
292548001,Drug groups primarily affecting respiratory system adverse reaction (disorder)
196052005,Acute drug-induced interstitial lung disorder (disorder)
53930004,Contact dermatitis caused by ragweed (disorder)
292998005,Cephalothin adverse reaction (disorder)
293209009,Dydrogesterone adverse reaction (disorder)
292410009,Central stimulant adverse reaction (disorder)
292671009,Drug for the treatment of gout adverse reaction (disorder)
218727000,Adverse reaction caused by spinal anesthetic (disorder)
292357006,Oxazepam adverse reaction (disorder)
65129009,Contact dermatitis caused by milk (disorder)
218938007,Adverse reaction caused by fig (disorder)
218726009,Adverse reaction caused by peripheral nerve and plexus blocking anesthetic (disorder)
293587005,Opioid analgesic allergy (disorder)
417959000,Topical protectant adverse reaction (disorder)
292196008,Antineoplastic adverse reaction (disorder)
840471000000106,Acute renal failure induced by non-steroidal anti-inflammatory drug (disorder)
292542000,Orphenadrine adverse reaction (disorder)
191390009,Drug-induced methemoglobinemia (disorder)
292363002,Carbamate sedative adverse reaction (disorder)
292252002,Vincristine adverse reaction (disorder)
293054004,Chlortetracycline adverse reaction (disorder)
293069003,Antimycobacterial agent adverse reaction (disorder)
848271000000107,Zoledronic acid monohydrate not tolerated (situation)
200907003,Drug-induced pemphigus (disorder)
292739008,Protamine adverse reaction (disorder)
292469002,Anticholinesterase parasympathomimetic adverse reaction (disorder)
292999002,Cephazolin adverse reaction (disorder)
737144005,Allergy to zoledronic acid (finding)
292086002,Phenylbutazone adverse reaction (disorder)
391103005,Adverse event following complementary therapy (disorder)
200794009,Contact dermatitis caused by keratolytic (disorder)
292145006,Docusate adverse reaction (disorder)
292851003,Primaquine adverse reaction (disorder)
200073003,Spinal and epidural anesthesia-induced headache during the puerperium (disorder)
293114004,Adverse reaction to vaccine product containing Mumps orthorubulavirus antigen (disorder)
294924001,Allergy to vitamin D and vitamin D derivative (finding)
15920121000119103,Allergic reaction caused by vaccine product (disorder)
292676004,Probenecid adverse reaction (disorder)
473078001,Allergy to raloxifene (finding)
292122000,Antacid adverse reaction (disorder)
292779004,Glycerol adverse reaction (disorder)
219062006,Adverse reaction to dietetics (finding)
81711008,Hemolytic anemia caused by drugs (disorder)
292179007,Prilocaine adverse reaction (disorder)
889611000000102,Adverse reaction to herpes zoster vaccine (disorder)
292709003,Prostaglandin adverse reaction (disorder)
293301009,Calcitonin adverse reaction (disorder)
11862006,Drug-induced myelopathy (disorder)
586008,Contact dermatitis caused by primrose (disorder)
293024009,Lincomycin adverse reaction (disorder)
292185000,Procaine adverse reaction (disorder)
292075004,Fenoprofen adverse reaction (disorder)
674791000000101,Adverse reaction to other antihypertensives (disorder)
293264001,Thyroid agent adverse reaction (disorder)
219063001,Adverse reaction caused by lipotropic drugs (disorder)
475181000000103,[X]Iminostilbenes causing adverse effects in therapeutic use (disorder)
36530008,Contact dermatitis caused by fish (disorder)
423643000,Duodenal ulcer caused by anti-platelet agent (disorder)
475401000000100,"[X]Unspecified analgesics, antipyretics and anti-inflammatory drugs causing adverse effects in therapeutic use (disorder)"
420187006,Adverse reaction caused by antiplatelet agent (disorder)
200854003,Irritant contact dermatitis caused by food in contact with skin (disorder)
292259006,Centrally acting appetite suppressant adverse reaction (disorder)
294648008,Allergy to influenza split virion vaccine (finding)
292130004,Antiemetic adverse reaction (disorder)
438784000,Adverse reaction caused by pharmaceutical excipient (disorder)
737493007,Allergy to denosumab (finding)
292294004,Phenelzine adverse reaction (disorder)
705311000000105,Adverse reaction to other central nervous system depressants and anesthetics (disorder)
292738000,Naloxone adverse reaction (disorder)
196318002,Teeth staining caused by drugs (disorder)
219077003,Adverse reaction caused by typhoid and paratyphoid vaccines (disorder)
674801000000102,Adverse reaction to antihypertensives NOS (disorder)
219035003,Adverse reaction caused by anti-common cold drug (disorder)
447691000000104,"[X]Other analgesics, antipyretics and anti-inflammatory drugs causing adverse effects in therapeutic use (disorder)"
55934006,Contact dermatitis caused by flour (disorder)
292467000,Acetylcholine chloride adverse reaction (disorder)
404684003,Clinical finding (finding)
292479000,Sympathomimetic adverse reaction (disorder)
447921000000106,[X]Unspecified psychotropic drugs causing adverse effects in therapeutic use (disorder)
474871000000107,"[X]Psychotropic drugs causing adverse effects in therapeutic use, not elsewhere classified (disorder)"
3072001,Hormone-induced hypopituitarism (disorder)
292923006,Kanamycin adverse reaction (disorder)
293457001,Cyclopenthiazide adverse reaction (disorder)
111192003,Contact dermatitis caused by insecticide (disorder)
430136001,Adverse reaction caused by antiparkinsonism drug (disorder)
293483006,Mannitol adverse reaction (disorder)
292415004,Dexamphetamine adverse reaction (disorder)
218679006,Adverse reaction caused by bromide (disorder)
292337007,Barbiturate sedative adverse reaction (disorder)
419869001,Atenolol sensitivity (finding)
405812002,Adverse reaction caused by bismuth anti-infective compound (disorder)
292418002,Drug groups primarily affecting autonomic nervous system adverse reaction (disorder)
671331000000100,Adverse reaction to other drugs and medicines (disorder)
848451000000104,History of ibandronic acid allergy (situation)
293042004,Sulfaurea adverse reaction (disorder)
292101006,Ulcer healing drug adverse reaction (disorder)
293285001,Oxytocin adverse reaction (disorder)
200802008,Contact dermatitis caused by acid (disorder)
292173008,Isoflurane adverse reaction (disorder)
218488009,Adverse reaction caused by thyroglobulin (disorder)
473077006,Allergy to teriparatide (finding)
292701000,Papaverine adverse reaction (disorder)
218580004,Adverse reaction caused by blood plasma (disorder)
292475006,Pyridostigmine adverse reaction (disorder)
292227004,Antimetabolite adverse reaction (disorder)
42245002,Iatrogenic ovarian failure (disorder)
292621006,Topical dermatological preparation adverse reaction (disorder)
293492009,Carbonic anhydrase inhibitor adverse reaction (disorder)
293974008,Allergy to carvedilol (finding)
292722006,Chelating agents and antidotes adverse reaction (disorder)
292700004,Smooth muscle relaxant adverse reaction (disorder)
292370002,Chlormethiazole adverse reaction (disorder)
293271006,Terlipressin adverse reaction (disorder)
292974003,Talampicillin adverse reaction (disorder)
218868004,Adverse reaction caused by ganglion blocking drug (disorder)
292171005,"Ether, anesthetic adverse reaction (disorder)"
218969006,Adverse reaction caused by mercaptomerin (disorder)
218941003,Adverse reaction caused by phenolphthalein (disorder)
293112000,Influenza split virion vaccine adverse reaction (disorder)
405811009,Adverse reaction caused by anti-infective lead compound (disorder)
293274003,Corticotrophins adverse reaction (disorder)
292127006,Kaolin adverse reaction (disorder)
889571000000106,Adverse reaction to rotavirus vaccine (disorder)
1053591000000102,Nebivolol allergy (disorder)
293282003,Gonadotrophic hormone adverse reaction (disorder)
218959000,Adverse reaction caused by pectin (disorder)
293009000,Ceftizoxime adverse reaction (disorder)
292862003,Anti-infective nasal preparations adverse reaction (disorder)
218696007,Adverse reaction caused by central nervous system muscle-tone depressants (disorder)
439990003,Drug-induced tubulointerstitial nephritis (disorder)
686091000000103,"Adverse reaction to analgesics, anti-pyretics and anti-rheumatics NOS (disorder)"
219031007,Adverse reaction caused by expectorant (disorder)
206570000,Newborn drug reaction and intoxication (disorder)
292840003,Tribavirin adverse reaction (disorder)
293020000,Cefoxitin adverse reaction (disorder)
293064008,Pentamidine adverse reaction (disorder)
293499000,Guanethidine adverse reaction (disorder)
218730007,Adverse reaction to central nervous system depressants and anesthetics NOS (disorder)
624951000000107,Adverse reaction to other antibiotics (disorder)
293315006,Blood derivative adverse reaction (disorder)
293040007,Sulfafurazole adverse reaction (disorder)
293059009,Antiprotozoal drug adverse reaction (disorder)
218961009,Adverse reaction caused by emetic (disorder)
293511001,Trimetaphan adverse reaction (disorder)
292235001,Etoposide adverse reaction (disorder)
218408007,Adverse reaction caused by para-aminosalicylic acid (disorder)
293190009,Oral hypoglycemic adverse reaction (disorder)
293386002,Vitamin A adverse reaction (disorder)
418466007,Fibrate antihyperlipidemic adverse reaction (disorder)
292699000,Auranofin adverse reaction (disorder)
473831000000108,[X]Otorhinolaryngological drugs and preparations causing adverse effects in therapeutic use (disorder)
218568007,Adverse reaction caused by fibrinolytic drugs (disorder)
218566006,Adverse reaction caused by phytomenadione (disorder)
293074006,Cycloserine adverse reaction (disorder)
193548006,Steroid-induced glaucoma glaucomatous stage (disorder)
218705009,Adverse reaction caused by cyclopropane (disorder)
293363009,Ferrous glycine sulfate adverse reaction (disorder)
292828003,Zidovudine adverse reaction (disorder)
292187008,Antineoplastic/immunosuppressant/immunostim adverse reaction (navigational concept)
219008007,Adverse reaction caused by drug primarily acting on the smooth and skeletal muscles and respiratory system (disorder)
292161008,Anesthetics and medical gases adverse reaction (disorder)
219094001,Adverse reaction caused by typhus vaccine (disorder)
219090005,"Adverse reaction to mixed bacterial vaccines, excluding combinations with a pertussis component (navigational concept)"
292973009,Bacampicillin adverse reaction (disorder)
292233008,Cytarabine adverse reaction (disorder)
292320000,Barbiturate antiepileptic adverse reaction (disorder)
292092008,Diagnostic agent adverse reaction (disorder)
406448004,Spiramycin adverse reaction (disorder)
292164000,Etomidate adverse reaction (disorder)
293445005,Procainamide adverse reaction (disorder)
292675000,Uricosuric agent adverse reaction (disorder)
293070002,Antituberculous drug adverse reaction (disorder)
292364008,Meprobamate adverse reaction (disorder)
293518007,Digitoxin adverse reaction (disorder)
292777002,Castor oil adverse reaction (disorder)
885901000000106,History of rotavirus vaccine allergy (situation)
677351000000101,Adverse reaction to other agent affecting blood constituents NOS (disorder)
218638005,Adverse reaction caused by hydantoin derivative (disorder)
309742004,Drug-induced autoimmune hemolytic anemia (disorder)
293265000,Liothyronine adverse reaction (disorder)
293288004,Somatrophic hormone adverse reaction (disorder)
218608004,Adverse reaction caused by pyrazole derivative (disorder)
292992006,Polymyxin B adverse reaction (disorder)
218927007,Adverse reaction caused by hydrotalcite (disorder)
418505005,Mineralocorticoid adverse reaction (disorder)
218605001,Adverse reaction caused by phenacetin (disorder)
293135002,Glucagon adverse reaction (disorder)
292125003,Antidiarrheal drug adverse reaction (disorder)
292231005,Thioguanine adverse reaction (disorder)
292207000,Melphalan adverse reaction (disorder)
292123005,Magnesium trisilicate adverse reaction (disorder)
238568000,Grease contact dermatitis (disorder)
10692681000119108,Aspirin exacerbated respiratory disease (disorder)
200881003,Contact dermatitis caused by casting materials (disorder)
292168002,Methohexitone adverse reaction (disorder)
72921001,Contact dermatitis caused by meat (disorder)
292356002,Medazepam adverse reaction (disorder)
292310005,Maprotiline adverse reaction (disorder)
292979008,Ticarcillin adverse reaction (disorder)
293302002,Salcatonin adverse reaction (disorder)
292293005,Monoamine oxidase inhibitor adverse reaction (disorder)
292240009,Procarbazine adverse reaction (disorder)
200784004,Contact dermatitis caused by chlorocompound (disorder)
240165007,Osteomalacia caused by drug (disorder)
293555007,Peripheral/cerebral vasodilator adverse reaction (disorder)
293469009,Triamterene adverse reaction (disorder)
111190006,Contact dermatitis caused by phenol (disorder)
292605001,Cough suppressant adverse reaction (disorder)
218943000,Adverse reaction caused by emollient cathartic (disorder)
292300001,Tryptophan adverse reaction (disorder)
69827001,Contact dermatitis caused by X-ray (disorder)
292336003,Paraldehyde adverse reaction (disorder)
292690001,Tubocurarine adverse reaction (disorder)
292536004,Benztropine adverse reaction (disorder)
218610002,Adverse reaction caused by aminophenazone (disorder)
293193006,Chlorpropamide adverse reaction (disorder)
448691006,Adverse reaction caused by phosphodiesterase 5 inhibitor (disorder)
392821000000101,[X]Butyrophenone and thioxanthene neuroleptics causing adverse effects in therapeutic use (disorder)
293456005,Chlorothiazide adverse reaction (disorder)
666361000000105,Adverse reaction to anti-infective NOS (disorder)
218583002,Adverse reaction caused by whole blood (disorder)
292474005,Edrophonium adverse reaction (disorder)
292170006,Enflurane adverse reaction (disorder)
292724007,Ipecacuanha adverse reaction (disorder)
72057009,Contact dermatitis caused by pediculicide (disorder)
292345002,Flurazepam adverse reaction (disorder)
293788003,Allergy to estrogen receptor antagonist (finding)
603051000000102,Drug hypersensitivity NOS (disorder)
292379001,Trifluperidol adverse reaction (disorder)
200788001,Contact dermatitis caused by hydrocarbon (disorder)
218663005,Adverse reaction caused by barbitone (disorder)
292557007,Nikethamide adverse reaction (disorder)
218925004,Adverse reaction caused by magnesium carbonate (disorder)
848521000000105,History of calcitonin allergy (situation)
80330000,Infertility due to drug therapy (finding)
200786002,Contact dermatitis caused by ester (disorder)
292199001,Busulfan adverse reaction (disorder)
201443009,Systemic sclerosis induced by drugs and chemicals (disorder)
292686003,Alcuronium adverse reaction (disorder)
292465008,Parasympathomimetic adverse reaction (disorder)
293497003,Bethanidine adverse reaction (disorder)
417902000,Adverse reaction caused by inorganic chemical (disorder)
292476007,Neostigmine adverse reaction (disorder)
218582007,Adverse reaction caused by packed red cells (disorder)
292297006,Tranylcypromine adverse reaction (disorder)
292670005,Drug groups primarily affecting musculoskeletal system adverse reaction (disorder)
219050007,Adverse reaction caused by antipruritic (disorder)
292377004,Butyrophenone adverse reaction (disorder)
293536007,Diazoxide adverse reaction (disorder)
218394002,Adverse reaction caused by hexylresorcinol (disorder)
292292000,Protriptyline adverse reaction (disorder)
293364003,Ferrous succinate adverse reaction (disorder)
292485007,Metaraminol adverse reaction (disorder)
239846006,Gout caused by lead (disorder)
292488009,Norepinephrine adverse reaction (disorder)
292224006,Doxorubicin adverse reaction (disorder)
956291000000100,Prasugrel allergy (disorder)
292483000,Alpha-adrenoceptor agonist adverse reaction (disorder)
218534001,Adverse reaction caused by alkalizing agents (disorder)
417652007,Selective estrogen receptor modulator not tolerated (situation)
403753000,Adverse cutaneous reaction to acupuncture (disorder)
293569007,Ethanolamine adverse reaction (disorder)
65394002,Contact dermatitis caused by lacquer tree (disorder)
292688002,Gallamine adverse reaction (disorder)
218933003,Adverse reaction caused by irritant cathartic (disorder)
293516006,Cardiac glycoside adverse reaction (disorder)
292978000,Azlocillin adverse reaction (disorder)
218957003,Adverse reaction caused by diphenoxylate (disorder)
73162004,Posttransfusion purpura (disorder)
81581001,Contact dermatitis caused by mercurial (disorder)
849411000000108,History of disodium etidronate allergy (situation)
13582007,Dermatitis due to substances taken internally (disorder)
293248009,Piperazine estrone sulfate adverse reaction (disorder)
200787006,Contact dermatitis caused by glycol (disorder)
293519004,Lanatoside C adverse reaction (disorder)
956131000000109,Aliskiren not tolerated (situation)
218481003,Adverse reaction caused by parathyroid and parathyroid derivatives (disorder)
293460008,Methyclothiazide adverse reaction (disorder)
956271000000104,Aliskiren allergy (disorder)
40712008,Contact dermatitis caused by arnica (disorder)
293348006,Ethamsylate adverse reaction (disorder)
218606000,Adverse reaction caused by acetanilide (disorder)
218951002,Adverse reaction caused by pancreatin (disorder)
956151000000102,Prasugrel not tolerated (situation)
293222001,Nandrolone adverse reaction (disorder)
292051004,Dipipanone adverse reaction (disorder)
294649000,Allergy to influenza surface antigen vaccine (finding)
292349008,Triazolam adverse reaction (disorder)
292507004,Isoprenaline adverse reaction (disorder)
293041006,Sulfaguanidine adverse reaction (disorder)
292289004,Desipramine adverse reaction (disorder)
292213009,Lomustine adverse reaction (disorder)
200075005,Toxic reaction caused by local anesthetic during labor and delivery (disorder)
200824008,Contact dermatitis caused by poison oak (disorder)
197749002,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions (disorder)
292981005,Mecillinam adverse reaction (disorder)
435731000000101,"[X]Other psychotropic drugs causing adverse effects in therapeutic use, not elsewhere classified (disorder)"
956191000000105,Aliskiren adverse reaction (disorder)
293427005,Clofibrate adverse reaction (disorder)
956211000000109,Prasugrel adverse reaction (disorder)
293572000,Urokinase adverse reaction (disorder)
292174002,Trichloroethylene adverse reaction (disorder)
292143004,Cascara adverse reaction (disorder)
292969006,Ciclacillin adverse reaction (disorder)
292315000,Beclamide adverse reaction (disorder)
683641000000107,Adverse reaction to other antiprotozoal drugs (disorder)
293113005,Influenza surface antigen vaccine adverse reaction (disorder)
293066005,Diloxanide adverse reaction (disorder)
293073000,Capreomycin adverse reaction (disorder)
292338002,Amylobarbitone adverse reaction (disorder)
292913002,Niclosamide adverse reaction (disorder)
193549003,Steroid-induced glaucoma residual stage (disorder)
293268003,Adverse reaction caused by antidiuretic hormone (disorder)
307342006,Thrombocytopenia due to massive blood transfusion (disorder)
292910004,Anthelmintics adverse reaction (disorder)
49186001,Contact dermatitis caused by cereal (disorder)
218533007,Adverse reaction caused by acidifying agent (disorder)
293082006,Clofazimine adverse reaction (disorder)
292970007,Mezlocillin adverse reaction (disorder)
77889005,Paralytic shellfish poisoning (disorder)
292439009,Practolol adverse reaction (disorder)
292614006,Xanthine adverse reaction (disorder)
293567009,Antivaricose agent adverse reaction (disorder)
292448004,Phentolamine adverse reaction (disorder)
292137001,Danthron adverse reaction (disorder)
292049003,Dextromoramide adverse reaction (disorder)
292208005,Estramustine adverse reaction (disorder)
15765005,Septic shock due to transfusion (disorder)
292334000,Chlormezanone adverse reaction (disorder)
219009004,Adverse reaction caused by oxytocic agents (disorder)
292639002,Bromine complexes adverse reaction (disorder)
686121000000102,Adverse reaction to other anticonvulsant (disorder)
200061003,Obstetric anesthesia with central nervous system complications (disorder)
293223006,Stanozolol adverse reaction (disorder)
292592004,Diphenylpyraline adverse reaction (disorder)
292545003,Oxitropium adverse reaction (disorder)
200068009,Obstetric toxic reaction caused by local anesthesia (disorder)
292367001,Dichloralphenazone adverse reaction (disorder)
218796003,Adverse reaction caused by psilocybin (disorder)
293461007,Polythiazide adverse reaction (disorder)
218950001,Adverse reaction caused by digestant (disorder)
218581000,Adverse reaction caused by human fibrinogen (disorder)
218665003,Adverse reaction caused by pentobarbitone (disorder)
197753000,Nephropathy caused by heavy metals (disorder)
292280000,Butriptyline adverse reaction (disorder)
292251009,Vinblastine adverse reaction (disorder)
293353001,"Foods, vitamins, electrolytes inorganic salts adverse reaction (navigational concept)"
218697003,Adverse reaction caused by chlorphenesin (disorder)
292810000,Natamycin adverse reaction (disorder)
293465003,Ethacrynic acid adverse reaction (disorder)
685641000000106,Adverse reaction to agent affecting blood constituents NOS (disorder)
218641001,Adverse reaction caused by succinimide (disorder)
292335004,Methyprylone adverse reaction (disorder)
707299008,Phosphodiesterase-5 inhibitor not tolerated (situation)
293554006,Pentaerythritol tetranitrate adverse reaction (disorder)
218903005,Adverse reaction caused by reserpine (disorder)
848311000000107,Calcitonin not tolerated (situation)
292472009,Distigmine adverse reaction (disorder)
218916005,Adverse reaction caused by capillary-active drug (disorder)
448690007,Allergy to phosphodiesterase 5 inhibitor (finding)
292801008,Flucytosine adverse reaction (disorder)
292296002,Isocarboxazid adverse reaction (disorder)
218361000,Adverse reaction caused by arsenical anti-infective (disorder)
200069001,Toxic reaction caused by local anesthesia during pregnancy (disorder)
292411008,Pemoline adverse reaction (disorder)
292209002,Mustine adverse reaction (disorder)
712950002,Adverse reaction to glutethimide (disorder)
293493004,Dichlorphenamide adverse reaction (disorder)
218952009,Adverse reaction caused by papain (disorder)
292914008,Bephenium adverse reaction (disorder)
292217005,Dactinomycin adverse reaction (disorder)
292342004,Quinalbarbitone adverse reaction (disorder)
293212007,Hydroxyprogesterone adverse reaction (disorder)
293237002,Methyltestosterone adverse reaction (disorder)
15276008,Drug-induced enzyme deficiency anemia (disorder)
293308003,Plasma substitutes adverse reaction (disorder)
292919003,Thiabendazole adverse reaction (disorder)
200789009,Contact dermatitis caused by ketone (disorder)
292539006,Homatropine adverse reaction (disorder)
840431000000109,Acute renal failure induced by cisplatin (disorder)
218680009,Adverse reaction caused by carbromal derivative (disorder)
200078007,Central nervous system complications of anesthesia during labor and delivery (disorder)
293236006,Mesterolone adverse reaction (disorder)
293558009,Cyclandelate adverse reaction (disorder)
104371000000107,[X]Influenza vaccine causing adverse effects in therapeutic use (disorder)
218382006,Adverse reaction caused by emetine (disorder)
459971000000102,"[X]Electrolytic, caloric and water-balance agents causing adverse effects in therapeutic use (disorder)"
293015000,Cefsulodin adverse reaction (disorder)
840451000000102,Acute renal failure induced by cyclosporin A (disorder)
218953004,Adverse reaction caused by pepsin (disorder)
218370002,Adverse reaction caused by diiodohydroxyquin (disorder)
218970007,Adverse reaction caused by mercurophylline (disorder)
236453005,Chronic tubulointerstitial nephritis caused by heavy metal (disorder)
293061000,Antimony antiprotozoal adverse reaction (disorder)
218973009,Adverse reaction caused by theobromine (disorder)
293198002,Gliquidone adverse reaction (disorder)
292845008,Idoxuridine adverse reaction (disorder)
219079000,Adverse reaction caused by paratyphoid vaccine (disorder)
293192001,Acetohexamide adverse reaction (disorder)
293459003,Hydroflumethiazide adverse reaction (disorder)
292827008,Inosine pranobex adverse reaction (disorder)
292241008,Razoxane adverse reaction (disorder)
704279007,Selective estrogen receptor modulator allergy (disorder)
292339005,Butobarbitone adverse reaction (disorder)
218972004,Adverse reaction caused by purine derivative diuretic (disorder)
292980006,Carfecillin adverse reaction (disorder)
292406006,Oxypertine adverse reaction (disorder)
292455002,Prenylamine adverse reaction (disorder)
200077002,Cardiac complications of anesthesia during labor and delivery (disorder)
292972004,Carbenicillin adverse reaction (disorder)
